old_tips,new_tips
Myrcia_grandifolia,Myrcia_grandifolia
Myrcia_reticulata,Myrcia_reticulata
Myrcia_ilheosensis,Myrcia_ilheosensis
Myrcia_fenzliana,Myrcia_fenzliana
Myrcia_hartwegiana,Myrcia_hartwegiana
Myrcia_pubescens,Myrcia_pubescens
Myrcia_cordiifolia,Myrcia_cordiifolia
Myrcia_eriocalyx,Myrcia_eriocalyx
Myrcia_montana,Myrcia_montana
Myrcia_palustris,Myrcia_palustris
Myrcia_subsericea,Myrcia_subsericea
Myrcia_aurea,Myrcia_aurea
Myrcia_anacardiifolia,Myrcia_anacardiifolia
Myrcia_squamata,Myrcia_squamata
Myrcia_macrocalyx,Myrcia_macrocalyx
Myrcia_hebepetala,Myrcia_hebepetala
Myrcia_brasiliensis,Myrcia_brasiliensis
Myrcia_barituensis,Myrcia_barituensis
Myrcia_glazioviana,Myrcia_glazioviana
Myrcia_mischophylla,Myrcia_mischophylla
Myrcia_tijucensis,Myrcia_tijucensis
Myrcia_cerqueiria,Myrcia_cerqueiria
Myrcia_ruschii,Myrcia_ruschii
Myrcia_flagellaris,Myrcia_flagellaris
Myrcia_espiritosantensis,Myrcia_espiritosantensis
Myrcia_spectabilis,Myrcia_spectabilis
Myrcia_crocea,Myrcia_crocea
Myrcia_magnifolia,Myrcia_magnifolia
Myrcia_carvalhoi,Myrcia_carvalhoi
Myrcia_basicordata,Myrcia_basicordata
Myrcia_vittoriana,Myrcia_vittoriana
Myrcia_grazielae,Myrcia_grazielae
Myrcia_springiana,Myrcia_springiana
Myrcia_pendula,Myrcia_pendula
Myrcia_rosangelae,Myrcia_rosangelae
Myrcia_lughadhae,Myrcia_lughadhae
Myrcia_serrana,Myrcia_serrana
Myrcia_variabilis,Myrcia_variabilis
Myrcia_pinifolia,Myrcia_pinifolia
Myrcia_cuprea,Myrcia_cuprea
Myrcia_rotundata,Myrcia_rotundata
Myrcia_paracatuensis,Myrcia_paracatuensis
Myrcia_vestita,Myrcia_vestita
Myrcia_rufipes,Myrcia_rufipes
Myrcia_guianensis,Myrcia_guianensis
Myrcia_stricta,Myrcia_stricta
Myrcia_nivea,Myrcia_nivea
Myrcia_subverticillaris,Myrcia_subverticillaris
Myrcia_laxiflora,Myrcia_laxiflora
Marlierea_clausseniana,Marlierea_clausseniana
Myrcia_multipunctata,Myrcia_multipunctata
Marlierea_eugeniopsoides,Myrcia_eugeniopsoides
Myrcia_ferruginosa,Myrcia_ferruginosa
Marlierea_teuscheriana,Marlierea_teuscheriana
Myrcia_tenuivenosa,Myrcia_tenuivenosa
Myrcia_hatschbachii,Myrcia_hatschbachii
Myrcia_oblongata,Myrcia_oblongata
Myrcia_laruotteana,Myrcia_laruotteana
Myrcia_tomentosa,Myrcia_tomentosa
Myrcia_selloi,Myrcia_selloi
Myrcia_maximiliana,Myrcia_maximiliana
Myrcia_pulvinata,Myrcia_pulvinata
Myrcia_robusta,Myrcia_robusta
Calyptranthes_thomasiana,Calyptranthes_thomasiana
Calyptranthes_garciae,Calyptranthes_garciae
Calyptranthes_eriocephala,Calyptranthes_eriocephala
Mitranthes_clarendonensis,Mitranthes_clarendonensis
Mitranthes_glabra,Mitranthes_glabra
Calyptranthes_longicalyptrata,Calyptranthes_longicalyptrata
Calyptranthes_barkeri,Calyptranthes_barkeri
Calyptranthes_laevigata,Calyptranthes_laevigata
Calyptranthes_pallens,Calyptranthes_pallens
Calyptranthes_sintenisii,Calyptranthes_sintenisii
Calyptranthes_spruceana,Calyptranthes_spruceana
Calyptranthes_bipennis,Calyptranthes_bipennis
Calyptranthes_lucida,Calyptranthes_lucida
Calyptranthes_kiaerskovii,Calyptranthes_kiaerskovii
Calyptranthes_clusiifolia,Calyptranthes_clusiifolia
Calyptranthes_hatschbachii,Calyptranthes_hatschbachii
Calyptranthes_brasiliensis,Calyptranthes_brasiliensis
Calyptranthes_concinna,Calyptranthes_concinna
Calyptranthes_widgreniana,Calyptranthes_widgreniana
Calyptranthes_grandifolia,Calyptranthes_grandifolia
Calyptranthes_lanceolata,Calyptranthes_lanceolata
Calyptranthes_lindeniana,Calyptranthes_lindeniana
Calyptranthes_pulchella,Calyptranthes_pulchella
Calyptranthes_restingae,Calyptranthes_restingae
Calyptranthes_fasciculata,Calyptranthes_fasciculata
Calyptranthes_speciosa,Calyptranthes_speciosa
Myrcia_calyptranthoides,Myrcia_calyptranthoides
Myrcia_rupestris,Myrcia_rupestris
Myrcia_subcordata,Myrcia_subcordata
Myrcia_bicolor,Myrcia_bicolor
Myrcia_lenheirensis,Myrcia_lenheirensis
Myrcia_pulchra,Myrcia_pulchra
Myrcia_ascendens,Myrcia_ascendens
Myrcia_mucugensis,Myrcia_mucugensis
Myrcia_densa,Myrcia_densa
Marlierea_rubiginosa,Marlierea_rubiginosa
Myrcia_nitida,Myrcia_nitida
Myrcia_pseudomarlierea,Myrcia_pseudomarlierea
Myrcia_mutabilis,Myrcia_mutabilis
Myrcia_bicarinata,Myrcia_bicarinata
Myrcia_subavenia,Myrcia_subavenia
Myrcia_costeira,Myrcia_costeira
Myrcia_follii,Myrcia_plusiantha
Myrcia_subterminalis,Myrcia_subterminalis
Myrcia_tenuifolia,Myrcia_tenuifolia
Marlierea_glazioviana,Myrcia_insigniflora
Myrcia_pubipetala,Myrcia_pubipetala
Myrcia_antonia,Myrcia_antonia
Myrcia_reticulosa,Myrcia_reticulosa
Myrcia_venulosa,Myrcia_venulosa
Myrcia_thyrsoidea,Myrcia_thyrsoidea
Myrcia_anceps,Myrcia_anceps
Myrcia_suffruticosa,Myrcia_suffruticosa
Myrcia_eriopus,Myrcia_eriopus
Myrcia_splendens,Myrcia_splendens
Myrcia_microphylla,Myrcia_microphylla
Myrcia_bracteata,Myrcia_bracteata
Myrcia_coumete,Myrcia_coumete
Myrcia_eximia,Myrcia_eximia
Myrcia_elevata,Myrcia_elevata
Myrcia_isaiana,Myrcia_isaiana
Myrcia_megaphylla,Myrcia_megaphylla
Myrcia_rorida,Myrcia_rorida
Myrcia_torta,Myrcia_torta
Myrcia_multiflora,Myrcia_multiflora
Myrcia_rubella,Myrcia_rubella
Myrcia_decorticans,Myrcia_decorticans
Myrcia_polyantha,Myrcia_polyantha
Myrcia_micropetala,Myrcia_micropetala
Myrcia_spathulifolia,Myrcia_spathulifolia
Myrcia_racemosa,Myrcia_racemosa
Myrcia_blanchetiana,Myrcia_blanchetiana
Myrcia_sessilissima,Myrcia_sessilissima
Myrcia_platyclada,Myrcia_platyclada
Myrcia_inaequiloba,Myrcia_inaequiloba
Myrcia_grandis,Myrcia_grandis
Marlierea_caudata,Marlierea_caudata
Marlierea_mcvaughii,Marlierea_mcvaughii
Calyptranthes_multiflora,Calyptranthes_multiflora
Myrcia_saxatilis,Myrcia_saxatilis
Marlierea_umbraticola,Marlierea_umbraticola
Myrcia_rupta,Myrcia_rupta
Myrcia_abbottiana,Myrcia_abbottiana
Myrcia_maricaensis,Myrcia_maricaensis
Myrcia_minutiflora,Myrcia_minutiflora
Marlierea_obscura,Marlierea_obscura
Marlierea_riedeliana,Myrcia_neoriedeliana
Marlierea_suaveolens,Marlierea_suaveolens
Marlierea_tomentosa,Marlierea_tomentosa
Marlierea_neuwiedeana,Myrcia_neuwiedeana
Marlierea_regeliana,Myrcia_neoregeliana
Marlierea_excoriata,Myrcia_excoriata
Marlierea_sucrei,Myrcia_sucrei
Myrcia_marianae,Myrcia_marianae
Marlierea_glabra,Marlierea_glabra
Marlierea_obversa,Myrcia_obversa
Myrcia_eumecephylla,Myrcia_eumecephylla
Myrcia_clavija,Myrcia_clavija
Myrcia_hexasticha,Myrcia_hexasticha
Myrcia_tetraphylla,Myrcia_tetraphylla
Marlierea_dimorpha,Myrcia_neodimorpha
Myrcia_riodocensis,Myrcia_riodocensis
Myrcia_amazonica,Myrcia_amazonica